hgnc_id	symbol	name
HGNC:5	A1BG	alpha-1-B glycoprotein
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1
HGNC:24086	A1CF	APOBEC1 complementation factor
HGNC:7	A2M	alpha-2-macroglobulin
HGNC:27057	A2M-AS1	A2M antisense RNA 1
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
HGNC:13666	AAAS	aladin WD repeat nucleoporin
HGNC:21298	AACS	acetoacetyl-CoA synthetase
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1
HGNC:17	AADAC	arylacetamide deacetylase
